1 | Mono | IMPORT
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | empty | METHOD_INVOCATION | return Mono.empty();
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | subscribe | METHOD_INVOCATION | accessTokenRepository.findByToken_migrated(TOKEN).subscribe(RxJavaReactorMigrationUtil.toJdkConsumer((domain)->future.complete(Result.healthy())), RxJavaReactorMigrationUtil.toJdkConsumer((error)->future.complete(Result.unhealthy(error))), RxJavaReactorMigrationUtil.toRunnable(()->future.complete(Result.healthy())));
1 | Mono | IMPORT
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | empty | METHOD_INVOCATION | return Mono.empty();
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | subscribe | METHOD_INVOCATION | domainRepository.findById_migrated(DOMAIN).subscribe(RxJavaReactorMigrationUtil.toJdkConsumer((domain)->future.complete(Result.healthy())), RxJavaReactorMigrationUtil.toJdkConsumer((error)->future.complete(Result.unhealthy(error))), RxJavaReactorMigrationUtil.toRunnable(()->future.complete(Result.healthy())));
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Mono | RETURN_TYPE
1 | Flux | RETURN_TYPE
1 | Flux | RETURN_TYPE
